antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
"frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.022605887467395353,0.023289032418333126,0.01645758290895541,0.7280219780219781,31.260293040293043,1.0,0.015931113662882048,3.591139315148756,0.9903993938478433,0.5590717299578059,0.721536840472429,0.7173443223443223,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM  → POPPY'S PLAYHOUSE KITCHEN
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM ""})",0.023289032418333126,0.022605887467395353,0.01645758290895541,0.7066666666666667,31.260293040293043,1.0,0.015931113662882048,3.3320253836338796,0.9910921129508081,0.5590717299578059,0.6998822383191426,0.7173443223443223,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE KITCHEN → POPPY'S PLAYHOUSE BEDROOM 
"frozenset({'SKULL SHOULDER BAG', 'DOTCOM POSTAGE'})",frozenset({'SUKI  SHOULDER BAG'}),0.013662899018755434,0.03148677182958639,0.011861880511737673,0.8681818181818183,27.57290658059889,1.0,0.01143167992780344,7.347341730947971,0.9770822907951376,0.35634328358208955,0.8638963537264276,0.6224538282230591,"DOTCOM POSTAGE, SKULL SHOULDER BAG",SUKI  SHOULDER BAG,"DOTCOM POSTAGE, SKULL SHOULDER BAG → SUKI  SHOULDER BAG"
frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),0.023661656937026456,0.025959508135635325,0.016333374736057633,0.6902887139107612,26.590978161222672,1.0,0.01571912976029828,3.144995147460364,0.9857169565399312,0.49067164179104483,0.6820344855515861,0.6597376583907872,PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG → SCANDINAVIAN PAISLEY PICNIC BAG
frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),0.025959508135635325,0.023661656937026456,0.016333374736057633,0.6291866028708134,26.590978161222672,1.0,0.01571912976029828,2.632964047744019,0.9880423535937425,0.49067164179104483,0.6201999032775165,0.6597376583907872,SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG → PINK VINTAGE PAISLEY PICNIC BAG
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.026704757173021985,0.03167308408893305,0.020804868960377594,0.7790697674418605,24.597218422252624,1.0,0.01995904694086193,4.38295340886062,0.985666994278226,0.5537190082644629,0.7718433424415622,0.7179662562699498,SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL
frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),0.03167308408893305,0.026704757173021985,0.020804868960377594,0.6568627450980392,24.59721842225262,1.0,0.01995904694086193,2.8364604219529075,0.9907242902981246,0.5537190082644629,0.6474479276141288,0.7179662562699498,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL MARSHMALLOWS PINK BOWL
frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),0.022916407899639796,0.025648987703390882,0.014346043969693205,0.6260162601626016,24.407055256993246,1.0,0.013758261305269455,2.6053298807061505,0.9815211801482697,0.41923774954627946,0.6161714463087647,0.5926691470304533,FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL → FELTCRAFT PRINCESS CHARLOTTE DOLL
frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),0.025648987703390882,0.022916407899639796,0.014346043969693205,0.559322033898305,24.407055256993246,1.0,0.013758261305269455,2.2172281513046634,0.984273868778936,0.41923774954627946,0.5489864227947949,0.5926691470304533,FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL → FELTCRAFT PRINCESS LOLA DOLL
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.029747857409017513,0.03161098000248416,0.022854303813190906,0.7682672233820459,24.30380909803085,1.0,0.021913944887517703,4.178903969178468,0.9882525832871825,0.5935483870967742,0.7607028045211123,0.7456267354631251,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.03161098000248416,0.029747857409017513,0.022854303813190906,0.7229862475442043,24.30380909803085,1.0,0.021913944887517703,3.5025414225447515,0.9901539221891652,0.5935483870967742,0.7144930268166663,0.7456267354631251,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.02391007328282201,0.02391007328282201,0.013849211278102099,0.5792207792207792,24.22496879743633,1.0,0.01327751967371218,2.319719887568602,0.9822048674266903,0.40767824497257765,0.5689134686653297,0.5792207792207792,BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB → RED STRIPE CERAMIC DRAWER KNOB
frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.02391007328282201,0.02391007328282201,0.013849211278102099,0.5792207792207792,24.22496879743633,1.0,0.01327751967371218,2.319719887568602,0.9822048674266903,0.40767824497257765,0.5689134686653297,0.5792207792207792,RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB → BLUE STRIPE CERAMIC DRAWER KNOB
frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),0.023847969196373123,0.029313128803875294,0.016209166563159856,0.6796875,23.187135858050848,1.0,0.01551010797039572,3.0304370612952187,0.9802496003556944,0.43865546218487395,0.6700145953294946,0.6163268008474576,SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES → SET OF 12 FAIRY CAKE BAKING CASES
frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),0.029313128803875294,0.023847969196373123,0.016209166563159856,0.5529661016949153,23.187135858050848,1.0,0.01551010797039572,2.1836197087171185,0.9857686000250035,0.43865546218487395,0.542044800196687,0.6163268008474576,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES → SET OF 12 MINI LOAF BAKING CASES
"frozenset({'SUKI  SHOULDER BAG', 'DOTCOM POSTAGE'})",frozenset({'SKULL SHOULDER BAG'}),0.02086697304682648,0.025027946838902,0.011861880511737673,0.568452380952381,22.712705305447244,1.0,0.0113396230196329,2.2592455852560622,0.976345147255045,0.34854014598540145,0.55737437022073,0.5211988951908307,"DOTCOM POSTAGE, SUKI  SHOULDER BAG",SKULL SHOULDER BAG,"DOTCOM POSTAGE, SUKI  SHOULDER BAG → SKULL SHOULDER BAG"
"frozenset({'FLORAL FOLK STATIONERY SET', 'DOTCOM POSTAGE'})",frozenset({'SUKI  SHOULDER BAG'}),0.014283939883244317,0.03148677182958639,0.010185070177617687,0.7130434782608696,22.64581082239945,1.0,0.009735315021686444,3.375121855745381,0.9696927554583005,0.28621291448516584,0.7037144012155513,0.5182574393276734,"DOTCOM POSTAGE, FLORAL FOLK STATIONERY SET",SUKI  SHOULDER BAG,"DOTCOM POSTAGE, FLORAL FOLK STATIONERY SET → SUKI  SHOULDER BAG"
"frozenset({'SKULL SHOULDER BAG', 'JAM MAKING SET PRINTED'})",frozenset({'DOTCOM POSTAGE'}),0.01043348652341324,0.04384548503291517,0.010309278350515464,0.9880952380952381,22.53584918386618,1.0,0.009851817073312027,80.3169792572354,0.9657018938059255,0.23446327683615817,0.9875493325415383,0.6116113584243896,"JAM MAKING SET PRINTED, SKULL SHOULDER BAG",DOTCOM POSTAGE,"JAM MAKING SET PRINTED, SKULL SHOULDER BAG → DOTCOM POSTAGE"
"frozenset({'DOTCOM POSTAGE', 'JAM MAKING SET PRINTED'})",frozenset({'SUKI  SHOULDER BAG'}),0.01838280958887095,0.03148677182958639,0.012979754067817663,0.706081081081081,22.424689482381787,1.0,0.01240093873670615,3.2951714429706023,0.9732982508610684,0.35185185185185186,0.6965256535791964,0.5591549389626312,"DOTCOM POSTAGE, JAM MAKING SET PRINTED",SUKI  SHOULDER BAG,"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SUKI  SHOULDER BAG"
"frozenset({'DOTCOM POSTAGE', 'JAM MAKING SET PRINTED'})",frozenset({'SKULL SHOULDER BAG'}),0.01838280958887095,0.025027946838902,0.010309278350515464,0.5608108108108107,22.407383810609616,1.0,0.009849194369375544,2.219936367197577,0.9732631652765689,0.3114446529080675,0.5495366377269683,0.4863607403929984,"DOTCOM POSTAGE, JAM MAKING SET PRINTED",SKULL SHOULDER BAG,"DOTCOM POSTAGE, JAM MAKING SET PRINTED → SKULL SHOULDER BAG"
"frozenset({'SUKI  SHOULDER BAG', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'DOTCOM POSTAGE'}),0.011799776425288785,0.04384548503291517,0.011365047820146565,0.963157894736842,21.96709408081109,1.0,0.01084768089949982,25.952765406249362,0.9658744680441884,0.2566619915848527,0.9614684607074974,0.6111823468018487,"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG",DOTCOM POSTAGE,"GREEN REGENCY TEACUP AND SAUCER, SUKI  SHOULDER BAG → DOTCOM POSTAGE"
"frozenset({'SUKI  SHOULDER BAG', 'JAM MAKING SET PRINTED'})",frozenset({'DOTCOM POSTAGE'}),0.013476586759408769,0.04384548503291517,0.012979754067817663,0.9631336405529954,21.966540906776675,1.0,0.012388866584763222,25.93569121848221,0.9675150189836338,0.2927170868347339,0.9614430943221832,0.6295838174436366,"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG",DOTCOM POSTAGE,"JAM MAKING SET PRINTED, SUKI  SHOULDER BAG → DOTCOM POSTAGE"
"frozenset({'RED TOADSTOOL LED NIGHT LIGHT', 'SUKI  SHOULDER BAG'})",frozenset({'DOTCOM POSTAGE'}),0.01155136007949323,0.04384548503291517,0.011116631474351012,0.9623655913978495,21.949023729020073,1.0,0.010610156488875777,25.406391397696847,0.9655938088371773,0.2510518934081346,0.9606398254538954,0.6079533339425508,"RED TOADSTOOL LED NIGHT LIGHT, SUKI  SHOULDER BAG",DOTCOM POSTAGE,"RED TOADSTOOL LED NIGHT LIGHT, SUKI  SHOULDER BAG → DOTCOM POSTAGE"
"frozenset({'SUKI  SHOULDER BAG', 'FLORAL FOLK STATIONERY SET'})",frozenset({'DOTCOM POSTAGE'}),0.010619798782759905,0.04384548503291517,0.010185070177617687,0.9590643274853802,21.873730596557493,1.0,0.009719439949035617,23.357488865624532,0.9645261348100268,0.2300140252454418,0.9571871785638861,0.5956794725245598,"FLORAL FOLK STATIONERY SET, SUKI  SHOULDER BAG",DOTCOM POSTAGE,"FLORAL FOLK STATIONERY SET, SUKI  SHOULDER BAG → DOTCOM POSTAGE"
"frozenset({'SUKI  SHOULDER BAG', 'JUMBO BAG WOODLAND ANIMALS'})",frozenset({'DOTCOM POSTAGE'}),0.011489255993044342,0.04384548503291517,0.010992423301453235,0.9567567567567568,21.821100987673226,1.0,0.010488671299770878,22.111073158613834,0.9652629512772648,0.24789915966386555,0.9547737917184527,0.6037324860271036,"JUMBO BAG WOODLAND ANIMALS, SUKI  SHOULDER BAG",DOTCOM POSTAGE,"JUMBO BAG WOODLAND ANIMALS, SUKI  SHOULDER BAG → DOTCOM POSTAGE"
